case_index,case_total,case_path,category,project,bug_id,case_id,source_path,line,column,message,label,notes
6,43,blocking/abba_deadlock/moby/4951/moby4951_test.go,blocking/abba_deadlock,moby,4951,moby4951,evaluation/gobench_samples/blocking/abba_deadlock/moby/4951/moby4951_test.go,93,2,"Potential deadlock between goroutines: go DeleteDevice may reacquire Mutex while already held, and go DeleteDevice also acquires Mutex (other goroutine starts near line 92)",DUP,
7,43,blocking/double_locking/cockroach/584/cockroach584_test.go,blocking/double_locking,cockroach,584,cockroach584,evaluation/gobench_samples/blocking/double_locking/cockroach/584/cockroach584_test.go,24,1,Function bootstrap returns lock(s) mu but no @returns(...) contract is declared,TP,
7,43,blocking/double_locking/cockroach/584/cockroach584_test.go,blocking/double_locking,cockroach,584,cockroach584,evaluation/gobench_samples/blocking/double_locking/cockroach/584/cockroach584_test.go,37,1,Function manage returns lock(s) mu but no @returns(...) contract is declared,TP,
8,43,blocking/double_locking/cockroach/9935/cockroach9935_test.go,blocking/double_locking,cockroach,9935,cockroach9935,evaluation/gobench_samples/blocking/double_locking/cockroach/9935/cockroach9935_test.go,27,9,"Call to exit acquires lock l.mu, but it is already held",TP,
9,43,blocking/double_locking/etcd/10492/etcd10492_test.go,blocking/double_locking,etcd,10492,etcd10492,evaluation/gobench_samples/blocking/double_locking/etcd/10492/etcd10492_test.go,41,8,"Call to TestEtcd10492$1 acquires lock mu, but it is already held",TP,
10,43,blocking/double_locking/etcd/5509/etcd5509_test.go,blocking/double_locking,etcd,5509,etcd5509,evaluation/gobench_samples/blocking/double_locking/etcd/5509/etcd5509_test.go,45,4,Function acquire returns lock(s) mu but no @returns(...) contract is declared,TP,
11,43,blocking/double_locking/etcd/6708/etcd6708_test.go,blocking/double_locking,etcd,6708,etcd6708,evaluation/gobench_samples/blocking/double_locking/etcd/6708/etcd6708_test.go,59,16,"Call to SetEndpoints acquires lock RWMutex, but it is already held",TP,
12,43,blocking/double_locking/grpc/3017/grpc3017_test.go,blocking/double_locking,grpc,3017,grpc3017,evaluation/gobench_samples/blocking/double_locking/grpc/3017/grpc3017_test.go,67,4,Function RemoveSubConn$1 returns lock(s) mu but no @returns(...) contract is declared,TP,
13,43,blocking/double_locking/grpc/795/grpc795_test.go,blocking/double_locking,grpc,795,grpc795,evaluation/gobench_samples/blocking/double_locking/grpc/795/grpc795_test.go,17,12,Function GracefulStop reacquires lock mu while it is already held,TP,Because the function is called in a loop
13,43,blocking/double_locking/grpc/795/grpc795_test.go,blocking/double_locking,grpc,795,grpc795,evaluation/gobench_samples/blocking/double_locking/grpc/795/grpc795_test.go,18,3,Function GracefulStop returns lock(s) mu but no @returns(...) contract is declared,TP,
13,43,blocking/double_locking/grpc/795/grpc795_test.go,blocking/double_locking,grpc,795,grpc795,evaluation/gobench_samples/blocking/double_locking/grpc/795/grpc795_test.go,21,1,Function GracefulStop returns lock(s) mu but no @returns(...) contract is declared,TP,
14,43,blocking/double_locking/hugo/5379/hugo5379_test.go,blocking/double_locking,hugo,5379,hugo5379,evaluation/gobench_samples/blocking/double_locking/hugo/5379/hugo5379_test.go,84,3,Function prepareForRender returns lock(s) contentInitMu but no @returns(...) contract is declared,FP,
14,43,blocking/double_locking/hugo/5379/hugo5379_test.go,blocking/double_locking,hugo,5379,hugo5379,evaluation/gobench_samples/blocking/double_locking/hugo/5379/hugo5379_test.go,86,2,Function prepareForRender returns lock(s) contentInitMu but no @returns(...) contract is declared,FP,
15,43,blocking/double_locking/moby/17176/moby17176_test.go,blocking/double_locking,moby,17176,moby17176,evaluation/gobench_samples/blocking/double_locking/moby/17176/moby17176_test.go,38,3,Function cleanupDeletedDevices returns lock(s) Mutex but no @returns(...) contract is declared,TP,
16,43,blocking/double_locking/moby/36114/moby36114_test.go,blocking/double_locking,moby,36114,moby36114,evaluation/gobench_samples/blocking/double_locking/moby/36114/moby36114_test.go,27,26,"Call to hotRemoveVHDsAtStart acquires lock svm.Mutex, but it is already held",TP,
17,43,blocking/double_locking/moby/7559/moby7559_test.go,blocking/double_locking,moby,7559,moby7559,evaluation/gobench_samples/blocking/double_locking/moby/7559/moby7559_test.go,23,27,Function Run reacquires lock connTrackLock while it is already held,TP,
18,43,blocking/double_locking/syncthing/4829/syncthing4829_test.go,blocking/double_locking,syncthing,4829,syncthing4829,evaluation/gobench_samples/blocking/double_locking/syncthing/4829/syncthing4829_test.go,25,11,"Call to notify acquires lock m.mut, but it is already held",TP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,30,11,"Call to Prepare requires lock e.systemConfigMu, but it's not held",FP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,40,20,"Call to getDatabaseCache acquires lock e.systemConfigMu, but it is already held",TP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,56,15,"Call to runTxnAttempt requires lock e.systemConfigMu, but it's not held",FP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,63,21,"Call to execStmtInOpenTxn acquires lock systemConfigMu, but it is already held",TP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,69,32,"Call to New acquires lock systemConfigMu, but it is already held",TP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,75,23,"Call to resetForBatch acquires lock systemConfigMu, but it is already held",TP,
19,43,blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,blocking/rwr_deadlock,cockroach,16167,cockroach16167,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/16167/cockroach16167_test.go,93,25,"Call to execStmtsInCurrentTxn acquires lock e.systemConfigMu, but it is already held",TP,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,33,26,"Call to MaybeAdd requires lock repl.store.mu, but it's not held",TP,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,82,1,Function shouldQueue returns lock(s) mu but no @returns(...) contract is declared,TP,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,86,20,"Call to RaftStatus acquires lock s.mu, but it is already held",FP,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,87,1,Function getTruncatableIndexes returns lock(s) mu but no @returns(...) contract is declared,FP,
20,43,blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,blocking/rwr_deadlock,cockroach,3710,cockroach3710,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/3710/cockroach3710_test.go,121,2,"Potential deadlock between goroutines: go ForceRaftLogScanAndProcess may reacquire mu while already held, and go processRaft also acquires mu (other goroutine starts near line 122)",FP,
21,43,blocking/rwr_deadlock/cockroach/6181/cockroach6181_test.go,blocking/rwr_deadlock,cockroach,6181,cockroach6181,evaluation/gobench_samples/blocking/rwr_deadlock/cockroach/6181/cockroach6181_test.go,36,1,Function LookupRangeDescriptor must return with lock rdc.rangeCacheMu held,FP,
22,43,blocking/rwr_deadlock/kubernetes/58107/kubernetes58107_test.go,blocking/rwr_deadlock,kubernetes,58107,kubernetes58107,evaluation/gobench_samples/blocking/rwr_deadlock/kubernetes/58107/kubernetes58107_test.go,106,2,"Potential deadlock between goroutines: go Run may reacquire workerLock while already held, and go Sync also acquires workerLock (other goroutine starts near line 107)",TP,
23,43,blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,blocking/rwr_deadlock,kubernetes,62464,kubernetes62464,evaluation/gobench_samples/blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,36,22,"Call to GetCPUSet acquires lock s.RWMutex, but it is already held",FP,
23,43,blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,blocking/rwr_deadlock,kubernetes,62464,kubernetes62464,evaluation/gobench_samples/blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,39,20,"Call to GetDefaultCPUSet acquires lock s.RWMutex, but it is already held",FP,
23,43,blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,blocking/rwr_deadlock,kubernetes,62464,kubernetes62464,evaluation/gobench_samples/blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,102,2,"Potential deadlock between goroutines: go reconcileState may reacquire RWMutex while already held, and go RemoveContainer also acquires RWMutex (other goroutine starts near line 103)",TP,
23,43,blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,blocking/rwr_deadlock,kubernetes,62464,kubernetes62464,evaluation/gobench_samples/blocking/rwr_deadlock/kubernetes/62464/kubernetes62464_test.go,103,2,"Potential deadlock between goroutines: go RemoveContainer may reacquire RWMutex while already held, and go reconcileState also acquires RWMutex (other goroutine starts near line 102)",DUP,
33,43,nonblocking/data_race/kubernetes/77796/kubernetes77796_test.go,nonblocking/data_race,kubernetes,77796,kubernetes77796,evaluation/gobench_samples/nonblocking/data_race/kubernetes/77796/kubernetes77796_test.go,27,18,"Access to Cacher.watcherBuffer requires lock RWMutex, but it's not held",TP,
34,43,nonblocking/data_race/kubernetes/79631/kubernetes79631_test.go,nonblocking/data_race,kubernetes,79631,kubernetes79631,evaluation/gobench_samples/nonblocking/data_race/kubernetes/79631/kubernetes79631_test.go,70,14,"Access to PriorityQueue.podBackoffQ requires lock lock, but it's not held",FP,
34,43,nonblocking/data_race/kubernetes/79631/kubernetes79631_test.go,nonblocking/data_race,kubernetes,79631,kubernetes79631,evaluation/gobench_samples/nonblocking/data_race/kubernetes/79631/kubernetes79631_test.go,113,5,"Access to PriorityQueue.podBackoffQ requires lock lock, but it's not held",TP,
37,43,nonblocking/data_race/kubernetes/81148/kubernetes81148_test.go,nonblocking/data_race,kubernetes,81148,kubernetes81148,evaluation/gobench_samples/nonblocking/data_race/kubernetes/81148/kubernetes81148_test.go,70,17,"Access to PriorityQueue.unschedulableQ requires lock lock, but it's not held",FP,
37,43,nonblocking/data_race/kubernetes/81148/kubernetes81148_test.go,nonblocking/data_race,kubernetes,81148,kubernetes81148,evaluation/gobench_samples/nonblocking/data_race/kubernetes/81148/kubernetes81148_test.go,125,5,"Access to PriorityQueue.unschedulableQ requires lock lock, but it's not held",TP,
39,43,nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,nonblocking/data_race,kubernetes,82550,kubernetes82550,evaluation/gobench_samples/nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,30,7,"Access to lazyEcrProvider.actualProvider requires lock mu, but it's not held",TP,
39,43,nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,nonblocking/data_race,kubernetes,82550,kubernetes82550,evaluation/gobench_samples/nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,31,5,"Access to lazyEcrProvider.actualProvider requires lock mu, but it's not held",TP,
39,43,nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,nonblocking/data_race,kubernetes,82550,kubernetes82550,evaluation/gobench_samples/nonblocking/data_race/kubernetes/82550/kubernetes82550_test.go,33,13,"Access to lazyEcrProvider.actualProvider requires lock mu, but it's not held",TP,
40,43,nonblocking/data_race/kubernetes/88331/kubernetes88331_test.go,nonblocking/data_race,kubernetes,88331,kubernetes88331,evaluation/gobench_samples/nonblocking/data_race/kubernetes/88331/kubernetes88331_test.go,66,14,"Access to PriorityQueue.podBackoffQ requires lock lock, but it's not held",FP,In constructor
40,43,nonblocking/data_race/kubernetes/88331/kubernetes88331_test.go,nonblocking/data_race,kubernetes,88331,kubernetes88331,evaluation/gobench_samples/nonblocking/data_race/kubernetes/88331/kubernetes88331_test.go,114,5,"Access to PriorityQueue.podBackoffQ requires lock lock, but it's not held",TP,
41,43,nonblocking/data_race/kubernetes/89164/kubernetes89164_test.go,nonblocking/data_race,kubernetes,89164,kubernetes89164,evaluation/gobench_samples/nonblocking/data_race/kubernetes/89164/kubernetes89164_test.go,47,18,"Access to Cacher.watcherBuffer requires lock RWMutex, but it's not held",TP,
